RegionName,AreaID,TotalIntroducedSpecies,ButterflyIntSp,NonButterflyIntSp,Country,Continent,Island,GDP_AVG5Y,InvBias_SC,Area_SqKms,DensPop,AgricultureCultivated_Area_100,Urban_Area_100,ClosedForest_Area_100,OpenForest_Area_100,MeanAnnualTemperature,AnnualPrecipitation
Afghanistan,AFG.1_1,2.0,0.0,2.0,Afghanistan,Asia,0,16949.1329,0.25,643838.732,47.61383,6.880037643737317,0.1704728014194826,0.34203570273211187,1.1560344675469811,11.992055123398451,450.04275190228304
Angola,AGO.1_1,3.0,0.0,3.0,Angola,Africa,0,75025.8111,0.25,1246918.115,28.80564,3.9811693325173465,0.11608843422254456,30.23432305392995,30.78759696362647,21.97171271758817,1098.0453893533952
Albania,ALB.1_1,21.0,1.0,20.0,Albania,Europe,0,18284.5994,0.5,28727.645,99.56435,16.32934720811534,2.1113048810869857,27.269440345464183,21.623483643471765,12.068852783499999,1410.7970441977147
Andorra,AND.1_1,0.0,0.0,0.0,Andorra,Europe,0,3307.2956,,451.1,249.61818,0.02189621195533173,1.1664709278022176,38.14320122618787,10.593785456934132,3.494039273357116,1195.8224374308325
United Arab Emirates,ARE.1_1,9.0,1.0,8.0,United Arab Emirates,Asia,0,439900.7795,2.0,71093.261,126.60325,0.6968659606952239,2.3742518610694905,0.0101304992494221,0.5773291914316269,27.53351728621986,78.11154473892819
Argentina,ARG.1_1,8.0,0.0,8.0,Argentina,South America,0,519784.925,1.75,2758164.992,15.98962,14.5060781278231,0.30802074771291904,8.975300960158597,3.411342920974763,14.313754705536956,723.6197030580757
Argntinian Islands,ARG.2_1,0.0,0.0,0.0,Argentina,South America,1,,1.75,20884.465,7.94991,0.0,0.11598683503355224,26.345254486854657,1.1077612902895577,4.79140353077213,710.3230634210304
Armenia,ARM.1_1,1.0,0.0,1.0,Armenia,Asia,0,16747.8308,1.0,29690.165,93.94985,16.76450724712972,2.9457327465610796,11.0688585293431,3.461234412427621,5.954765797338134,714.0929771007675
Antarctica,ATA.1_1,0.0,0.0,0.0,Antarctica,Antarctica,0,,,12365046.68,,0.0,0.0,0.0,0.0,-37.82794209555577,239.66483993622438
Antigua and Barbuda,ATG.1_1,2.0,0.0,2.0,Antigua and Barbuda,North America,1,1727.6667,0.75,435.81,220.51115,4.623601626232296,5.1045624850530125,9.063853532803657,45.06682964419526,25.915103128658675,1317.404500707229
Australia,AUS.1_1,130.0,2.0,128.0,Australia,Australia,0,1598056.964,3.0,7619879.675,2.9609,4.977804081940863,0.1700216994996928,10.216745318332194,15.75585402672391,21.937838521262893,490.10950684660725
Australian Islands,AUS.2_1,1.0,0.0,1.0,Australia,Australia,1,25964.656,,68178.555,7.19641,1.136222734528341,0.39299198187912393,45.94033873779816,19.35487171976752,10.437803690055263,1284.7170000161873
Australian Oceania Territories,AUS.3_1,2.0,0.0,2.0,Australia,Oceania,1,,,40.634,50.42028,0.0,0.0,0.0,0.0,19.337719298245613,1280.4456187465735
Australian Antarctic Territories,AUS.4_1,0.0,0.0,0.0,Australia,Antarctica,1,,,363.034,,0.0,0.0,0.0,0.0,-1.26153846138669,1842.450427193927
Australian Asian Territories,AUS.5_1,1.0,0.0,1.0,Australia,Asia,1,,,153.32,18.74228,0.0,0.0,0.0,0.0,25.658556045695423,2023.821386979863
Austria,AUT.1_1,39.0,1.0,38.0,Austria,Europe,0,469183.386,3.0,83946.896,106.57514,20.96044849335367,3.9753568659270018,44.12654944847659,12.342920314722615,6.225736192245854,1196.9805944561772
Azerbaijan,AZE.1_1,2.0,0.0,2.0,Azerbaijan,Asia,0,59371.2588,0.5,86235.488,121.78326,41.3745041878756,3.2208783143890924,12.189066493428518,4.721156155591505,11.977547651708134,532.2139517280034
Burundi,BDI.1_1,2.0,0.0,2.0,Burundi,Africa,0,2796.5765,1.0,26935.291,424.56761,55.91674624864689,0.9689470888709596,4.19887548080312,16.452255526177193,20.301447572276153,1332.8444599488735
